os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
72.9395,13710,11.9701,96,71,63,2317,1000,2.69624,144,5.40554,382465691
83.3959,11991,11.9701,96,71,63,2317,1000,2.69624,144,5.40554,482523587
84.5094,11833,11.9701,96,71,63,2317,1000,2.69624,144,5.40554,582580323
76.2835,13109,11.9701,96,71,63,2317,1000,2.69624,144,5.40554,682637379
76.8344,13015,11.9701,96,71,63,2317,1000,2.69624,144,5.40554,782693606
77.1129,12968,11.9701,96,71,63,2317,1000,2.69624,144,5.40554,882751142
74.3329,13453,7.57946,99,70,63,2438,1000,2.69009,149,5.3801,982811378
78.1616,12794,7.57946,99,70,63,2438,1000,2.69009,149,5.3801,1082869774
67.39,14839,7.57946,99,70,63,2438,1000,2.69009,149,5.3801,1182928070
79.1766,12630,7.57946,99,70,63,2438,1000,2.69009,149,5.3801,1282987927
84.0124,11903,7.57946,99,70,63,2438,1000,2.69009,149,5.3801,1383044513
78.6596,12713,10.3281,98,69,64,2430,1000,2.69009,148,5.39355,1483105919
78.5608,12729,10.3281,98,69,64,2430,1000,2.69009,148,5.39355,1583161095
68.8231,14530,10.3281,98,69,64,2430,1000,2.69009,148,5.39355,1683217152
72.998,13699,10.3281,98,69,64,2430,1000,2.69009,148,5.39355,1783273328
75.523,13241,10.3281,98,69,64,2430,1000,2.69009,148,5.39355,1883328924
72.2178,13847,9.4132,99,69,64,2426,1000,2.69009,147,5.3938,1983384890
75.1541,13306,9.4132,99,69,64,2426,1000,2.69009,147,5.3938,2083442307
68.3995,14620,9.4132,99,69,64,2426,1000,2.69009,147,5.3938,2183499053
64.9519,15396,9.4132,99,69,64,2426,1000,2.69009,147,5.3938,2283555559
70.9925,14086,9.4132,99,69,64,2426,1000,2.69009,147,5.3938,2383612825
72.7167,13752,9.42472,99,68,63,2424,1000,2.78466,147,5.39187,2483669532
72.7379,13748,9.42472,99,68,63,2424,1000,2.78466,147,5.39187,2583726758
75.3352,13274,9.42472,99,68,63,2424,1000,2.78466,147,5.39187,2683783094
74.3273,13454,9.42472,99,68,63,2424,1000,2.78466,147,5.39187,2783840720
71.2251,14040,9.42472,99,68,63,2424,1000,2.78466,147,5.39187,2883898537
75.1202,13312,10.3281,99,67,64,2420,1000,2.78466,146,5.39153,2983955583
116.225,8604,10.3281,99,67,64,2420,1000,2.78466,146,5.39153,3084013269
67.7553,14759,10.3281,99,67,64,2420,1000,2.78466,146,5.39153,3184076975
74.9288,13346,10.3281,99,67,64,2420,1000,2.78466,146,5.39153,3284133922
65.591,15246,10.3281,99,67,64,2420,1000,2.78466,146,5.39153,3384190838
64.0246,15619,40.9262,97,69,64,2389,1000,2.87971,144,5.40117,3484250104
81.5993,12255,40.9262,97,69,64,2389,1000,2.87971,144,5.40117,3584306610
70.5716,14170,40.9262,97,69,64,2389,1000,2.87971,144,5.40117,3684364197
75.1428,13308,40.9262,97,69,64,2389,1000,2.87971,144,5.40117,3784420183
