os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
55.7258,17945,40.5172,97,78,66,2364,1000,2.84989,137,6.91564,444086346
76.3359,13100,40.5172,97,78,66,2364,1000,2.84989,137,6.91564,544145182
86.2515,11594,40.5172,97,78,66,2364,1000,2.84989,137,6.91564,644201929
53.3077,18759,40.5172,97,78,66,2364,1000,2.84989,137,6.91564,744268635
78.4683,12744,40.5172,97,78,66,2364,1000,2.84989,137,6.91564,844319391
70.6464,14155,40.5172,97,78,66,2364,1000,2.84989,137,6.91564,944375707
76.5873,13057,38.4615,97,78,66,2367,1000,2.913,137,6.8683,1044431774
139.567,7165,38.4615,97,78,66,2367,1000,2.913,137,6.8683,1144490010
83.3681,11995,38.4615,97,78,66,2367,1000,2.913,137,6.8683,1244547016
73.6811,13572,38.4615,97,78,66,2367,1000,2.913,137,6.8683,1344602922
70.5866,14167,38.4615,97,78,66,2367,1000,2.913,137,6.8683,1444661889
61.1546,16352,27.5093,97,78,66,2367,1000,2.9114,137,6.86694,1544721045
72.648,13765,27.5093,97,78,66,2367,1000,2.9114,137,6.86694,1644778531
78.1861,12790,27.5093,97,78,66,2367,1000,2.9114,137,6.86694,1744836877
77.8877,12839,27.5093,97,78,66,2367,1000,2.9114,137,6.86694,1844895784
113.084,8843,27.5093,97,78,66,2367,1000,2.9114,137,6.86694,1944954510
64.7584,15442,37.0098,98,78,66,2373,1000,2.93023,137,6.8715,2044991186
68.0689,14691,37.0098,98,78,66,2373,1000,2.93023,137,6.8715,2145047912
75.5629,13234,37.0098,98,78,66,2373,1000,2.93023,137,6.8715,2245104228
70.4871,14187,37.0098,98,78,66,2373,1000,2.93023,137,6.8715,2345135315
77.5254,12899,37.0098,98,78,66,2373,1000,2.93023,137,6.8715,2445191421
76.4935,13073,32.0449,98,78,66,2374,1000,2.95253,136,6.8767,2545247537
69.6088,14366,32.0449,98,78,66,2374,1000,2.95253,136,6.8767,2645304653
98.9707,10104,32.0449,98,78,66,2374,1000,2.95253,136,6.8767,2745361910
87.9662,11368,32.0449,98,78,66,2374,1000,2.95253,136,6.8767,2845419706
70.082,14269,32.0449,98,78,66,2374,1000,2.95253,136,6.8767,2945476672
69.7399,14339,36.7073,98,77,66,2367,1000,2.97376,136,6.87634,3045534758
89.2777,11201,36.7073,98,77,66,2367,1000,2.97376,136,6.87634,3145591295
69.4686,14395,36.7073,98,77,66,2367,1000,2.97376,136,6.87634,3245649361
83.7802,11936,36.7073,98,77,66,2367,1000,2.97376,136,6.87634,3345705837
63.9795,15630,36.7073,98,77,66,2367,1000,2.97376,136,6.87634,3445765353
105.219,9504,25.2488,96,77,65,2302,1000,2.97399,134,6.86935,3545821830
82.9807,12051,25.2488,96,77,65,2302,1000,2.97399,134,6.86935,3645878276
78.765,12696,25.2488,96,77,65,2302,1000,2.97399,134,6.86935,3745935122
79.0576,12649,25.2488,96,77,65,2302,1000,2.97399,134,6.86935,3845993088
