os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300700,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
83.3056,12004,6.99126,99,61,64,2401,1000,2.78149,141,6.4763,178090627
86.1104,11613,6.99126,99,61,64,2401,1000,2.78149,141,6.4763,278167859
72.2909,13833,6.99126,99,61,64,2401,1000,2.78149,141,6.4763,378270090
69.0703,14478,6.99126,99,61,64,2401,1000,2.78149,141,6.4763,478350532
70.5916,14166,6.99126,99,61,64,2401,1000,2.78149,141,6.4763,578437143
46.4555,21526,8.88611,97,61,65,2365,1000,2.78724,140,6.43808,678528215
67.9995,14706,8.88611,97,61,65,2365,1000,2.78724,140,6.43808,778615677
68.861,14522,8.88611,97,61,65,2365,1000,2.78724,140,6.43808,878705558
76.6989,13038,8.88611,97,61,65,2365,1000,2.78724,140,6.43808,978795660
71.144,14056,8.88611,97,61,65,2365,1000,2.78724,140,6.43808,1078884861
71.3369,14018,8.88611,97,61,65,2365,1000,2.78724,140,6.43808,1178975383
71.582,13970,4.30504,99,60,65,2397,1000,2.77931,140,6.43482,1279061515
70.4325,14198,4.30504,99,60,65,2397,1000,2.77931,140,6.43482,1379151866
81.5461,12263,4.30504,99,60,65,2397,1000,2.77931,140,6.43482,1479238128
65.9674,15159,4.30504,99,60,65,2397,1000,2.77931,140,6.43482,1579312379
69.1276,14466,4.30504,99,60,65,2397,1000,2.77931,140,6.43482,1679387121
66.4496,15049,4.83271,99,60,65,2393,1000,2.77588,139,6.43565,1779461153
67.3265,14853,4.83271,99,60,65,2393,1000,2.77588,139,6.43565,1879536484
66.6089,15013,4.83271,99,60,65,2393,1000,2.77588,139,6.43565,1979610376
66.8583,14957,4.83271,99,60,65,2393,1000,2.77588,139,6.43565,2079685627
72.7484,13746,4.83271,99,60,65,2393,1000,2.77588,139,6.43565,2179759519
63.9509,15637,6.35697,99,60,65,2393,1000,2.77588,139,6.43877,2279837530
65.2912,15316,6.35697,99,60,65,2393,1000,2.77588,139,6.43877,2379915372
67.6315,14786,6.35697,99,60,65,2393,1000,2.77588,139,6.43877,2479986594
66.6223,15010,6.35697,99,60,65,2393,1000,2.77588,139,6.43877,2580071695
62.9763,15879,6.35697,99,60,65,2393,1000,2.77588,139,6.43877,2680147737
