os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
112.841,8862,37.2966,99,78,66,2400,1000,3.01922,141,8.09295,414535778
79.321,12607,37.2966,99,78,66,2400,1000,3.01922,141,8.09295,514591975
91.7431,10900,37.2966,99,78,66,2400,1000,3.01922,141,8.09295,614647671
130.378,7670,37.2966,99,78,66,2400,1000,3.01922,141,8.09295,714705447
82.2368,12160,37.2966,99,78,66,2400,1000,3.01922,141,8.09295,814761793
104.91,9532,37.2966,99,78,66,2400,1000,3.01922,141,8.09295,914818560
79.7703,12536,35.1716,96,78,66,2343,1000,2.94448,140,8.04699,1014878366
87.9353,11372,35.1716,96,78,66,2343,1000,2.94448,140,8.04699,1114934492
87.4738,11432,35.1716,96,78,66,2343,1000,2.94448,140,8.04699,1214994778
78.4806,12742,35.1716,96,78,66,2343,1000,2.94448,140,8.04699,1315053075
82.7335,12087,35.1716,96,78,66,2343,1000,2.94448,140,8.04699,1415112661
77.8452,12846,32.2621,97,78,66,2380,1000,2.94448,140,8.0457,1515169107
80.8146,12374,32.2621,97,78,66,2380,1000,2.94448,140,8.0457,1615225423
76.9704,12992,32.2621,97,78,66,2380,1000,2.94448,140,8.0457,1715282530
78.6782,12710,32.2621,97,78,66,2380,1000,2.94448,140,8.0457,1815339906
80.5283,12418,32.2621,97,78,66,2380,1000,2.94448,140,8.0457,1915397372
79.5482,12571,28.5714,97,78,66,2380,1000,3.01502,140,8.04583,2015454438
77.8574,12844,28.5714,97,78,66,2380,1000,3.01502,140,8.04583,2115509605
75.8725,13180,28.5714,97,78,66,2380,1000,3.01502,140,8.04583,2215565591
86.2813,11590,28.5714,97,78,66,2380,1000,3.01502,140,8.04583,2315622367
77.4473,12912,28.5714,97,78,66,2380,1000,3.01502,140,8.04583,2415678473
83.022,12045,27,98,78,66,2393,1000,3.07865,140,8.04343,2515737460
74.8727,13356,27,98,78,66,2393,1000,3.07865,140,8.04343,2615797576
77.8938,12838,27,98,78,66,2393,1000,3.07865,140,8.04343,2715853692
74.107,13494,27,98,78,66,2393,1000,3.07865,140,8.04343,2815910188
80.36,12444,27,98,78,66,2393,1000,3.07865,140,8.04343,2915966685
73.6106,13585,38.773,99,78,66,2396,1000,3.09882,140,8.04874,3016024461
71.4031,14005,38.773,99,78,66,2396,1000,3.09882,140,8.04874,3116080677
73.8989,13532,38.773,99,78,66,2396,1000,3.09882,140,8.04874,3216136563
76.0861,13143,38.773,99,78,66,2396,1000,3.09882,140,8.04874,3316192139
53.4445,18711,38.773,99,78,66,2396,1000,3.09882,140,8.04874,3416249916
72.4165,13809,33.7871,99,78,66,2394,1000,3.09293,139,8.04919,3516306332
86.4006,11574,33.7871,99,78,66,2394,1000,3.09293,139,8.04919,3616362898
98.8045,10121,33.7871,99,78,66,2394,1000,3.09293,139,8.04919,3716419144
75.4489,13254,33.7871,99,78,66,2394,1000,3.09293,139,8.04919,3816475401
128.139,7804,33.7871,99,78,66,2394,1000,3.09293,139,8.04919,3916533787
