os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , ,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
71.5154,13983,9.39431,97,68,62,2409,1000,2.86456,150,5.02448,366820986
74.0686,13501,9.39431,97,68,62,2409,1000,2.86456,150,5.02448,466880492
75.4489,13254,9.39431,97,68,62,2409,1000,2.86456,150,5.02448,566950428
45.5353,21961,9.39431,97,68,62,2409,1000,2.86456,150,5.02448,667009765
77.6036,12886,9.39431,97,68,62,2409,1000,2.86456,150,5.02448,767066601
72.3641,13819,9.39431,97,68,62,2409,1000,2.86456,150,5.02448,867125147
75.5458,13237,8.79802,99,67,62,2442,1000,2.93668,151,4.99305,967182953
68.1617,14671,8.79802,99,67,62,2442,1000,2.93668,151,4.99305,1067240789
68.6577,14565,8.79802,99,67,62,2442,1000,2.93668,151,4.99305,1167297716
73.046,13690,8.79802,99,67,62,2442,1000,2.93668,151,4.99305,1267390252
73.4808,13609,8.79802,99,67,62,2442,1000,2.93668,151,4.99305,1367447128
68.653,14566,5.26961,99,66,62,2434,1000,2.93668,149,4.99546,1467503714
175.009,5714,5.26961,99,66,62,2434,1000,2.93668,149,4.99546,1567560981
74.6993,13387,5.26961,99,66,62,2434,1000,2.93668,149,4.99546,1667618287
71.4286,14000,5.26961,99,66,62,2434,1000,2.93668,149,4.99546,1767675443
71.5615,13974,5.26961,99,66,62,2434,1000,2.93668,149,4.99546,1867732849
66.5735,15021,6.34146,99,64,62,2433,1000,2.93668,148,4.99837,1967789516
65.1508,15349,6.34146,99,64,62,2433,1000,2.93668,148,4.99837,2067847682
42.8064,23361,6.34146,99,64,62,2433,1000,2.93668,148,4.99837,2167904728
68.0967,14685,6.34146,99,64,62,2433,1000,2.93668,148,4.99837,2267962374
67.5128,14812,6.34146,99,64,62,2433,1000,2.93668,148,4.99837,2368020391
73.8443,13542,8.82353,99,64,63,2432,1000,2.87358,147,4.99933,2468078177
68.9941,14494,8.82353,99,64,63,2432,1000,2.87358,147,4.99933,2568134943
65.7549,15208,8.82353,99,64,63,2432,1000,2.87358,147,4.99933,2668191109
64.8677,15416,8.82353,99,64,63,2432,1000,2.87358,147,4.99933,2768249166
70.5866,14167,8.82353,99,64,63,2432,1000,2.87358,147,4.99933,2868306812
68.1617,14671,5.87515,99,62,62,2434,1000,2.87358,147,5.00005,2968363718
68.7238,14551,5.87515,99,62,62,2434,1000,2.87358,147,5.00005,3068375794
67.3446,14849,5.87515,99,62,62,2434,1000,2.87358,147,5.00005,3168433811
66.3218,15078,5.87515,99,62,62,2434,1000,2.87358,147,5.00005,3268490477
72.1553,13859,5.87515,99,62,62,2434,1000,2.87358,147,5.00005,3368548633
65.5566,15254,8.03461,99,62,63,2425,1000,2.8826,146,5.00414,3468606599
69.4203,14405,8.03461,99,62,63,2425,1000,2.8826,146,5.00414,3568665056
72.4533,13802,8.03461,99,62,63,2425,1000,2.8826,146,5.00414,3668725142
66.0197,15147,8.03461,99,62,63,2425,1000,2.8826,146,5.00414,3768782718
66.3482,15072,8.03461,99,62,63,2425,1000,2.8826,146,5.00414,3868825014
62.4688,16008,8.83085,98,61,63,2430,1000,2.88628,146,5.0106,3968883190
72.1293,13864,8.83085,98,61,63,2430,1000,2.88628,146,5.0106,4068941287
65.9109,15172,8.83085,98,61,63,2430,1000,2.88628,146,5.0106,4168999543
72.812,13734,8.83085,98,61,63,2430,1000,2.88628,146,5.0106,4269058299
