os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
86.1326,11610,35.9006,97,76,64,2366,1000,2.63959,141,6.49992,237549392
75.7174,13207,35.9006,97,76,64,2366,1000,2.63959,141,6.49992,337607428
79.3966,12595,35.9006,97,76,64,2366,1000,2.63959,141,6.49992,437665684
88.4956,11300,35.9006,97,76,64,2366,1000,2.63959,141,6.49992,537725031
81.4863,12272,35.9006,97,76,64,2366,1000,2.63959,141,6.49992,637783597
79.2707,12615,35.9006,97,76,64,2366,1000,2.63959,141,6.49992,737840993
83.3681,11995,32.1168,98,76,64,2390,1000,2.63655,142,6.47856,837897919
81.4332,12280,32.1168,98,76,64,2390,1000,2.63655,142,6.47856,937955705
174.734,5723,32.1168,98,76,64,2390,1000,2.63655,142,6.47856,1038014922
86.2143,11599,32.1168,98,76,64,2390,1000,2.63655,142,6.47856,1138071748
81.281,12303,32.1168,98,76,64,2390,1000,2.63655,142,6.47856,1238128844
53.6164,18651,39.6594,98,76,64,2396,1000,2.62441,142,6.47596,1338188300
74.5156,13420,39.6594,98,76,64,2396,1000,2.62441,142,6.47596,1438245337
213.63,4681,39.6594,98,76,64,2396,1000,2.62441,142,6.47596,1538304523
89.4294,11182,39.6594,98,76,64,2396,1000,2.62441,142,6.47596,1638371129
39.909,25057,39.6594,98,76,64,2396,1000,2.62441,142,6.47596,1738431145
74.5212,13419,46.4646,98,77,64,2396,1000,2.62441,142,6.47605,1838496522
76.8462,13013,46.4646,98,77,64,2396,1000,2.62441,142,6.47605,1938556348
74.8447,13361,46.4646,98,77,64,2396,1000,2.62441,142,6.47605,2038615534
62.4493,16013,46.4646,98,77,64,2396,1000,2.62441,142,6.47605,2138673070
69.9692,14292,46.4646,98,77,64,2396,1000,2.62441,142,6.47605,2238730327
75.9128,13173,28.9926,97,77,64,2382,1000,2.61752,140,6.47611,2338791223
72.8544,13726,28.9926,97,77,64,2382,1000,2.61752,140,6.47611,2438849549
162.92,6138,28.9926,97,77,64,2382,1000,2.61752,140,6.47611,2538908145
