os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
74.4158,13438,8.86699,99,60,65,2404,1000,2.74008,142,6.62294,241252614
77.4114,12918,8.86699,99,60,65,2404,1000,2.74008,142,6.62294,341305470
68.4182,14616,8.86699,99,60,65,2404,1000,2.74008,142,6.62294,441356736
77.0654,12976,8.86699,99,60,65,2404,1000,2.74008,142,6.62294,541408032
75.0075,13332,8.86699,99,60,65,2404,1000,2.74008,142,6.62294,641424428
78.3761,12759,8.86699,99,60,65,2404,1000,2.74008,142,6.62294,741475425
77.8816,12840,6.68317,97,60,65,2381,1000,2.77614,140,6.57864,841526691
75.9474,13167,6.68317,97,60,65,2381,1000,2.77614,140,6.57864,941578487
77.7907,12855,6.68317,97,60,65,2381,1000,2.77614,140,6.57864,1041632663
73.4053,13623,6.68317,97,60,65,2381,1000,2.77614,140,6.57864,1141684760
77.238,12947,6.68317,97,60,65,2381,1000,2.77614,140,6.57864,1241738516
73.7028,13568,4.60199,99,59,65,2395,1000,2.77614,141,6.57889,1341790212
71.3267,14020,4.60199,99,59,65,2395,1000,2.77614,141,6.57889,1441842408
73.7354,13562,4.60199,99,59,65,2395,1000,2.77614,141,6.57889,1541894675
72.0773,13874,4.60199,99,59,65,2395,1000,2.77614,141,6.57889,1641950111
70.9673,14091,4.60199,99,59,65,2395,1000,2.77614,141,6.57889,1742001427
69.3529,14419,4.20792,99,58,65,2390,1000,2.77614,140,6.57912,1842055853
76.3534,13097,4.20792,99,58,65,2390,1000,2.77614,140,6.57912,1942126300
67.9209,14723,4.20792,99,58,65,2390,1000,2.77614,140,6.57912,2042193196
69.6573,14356,4.20792,99,58,65,2390,1000,2.77614,140,6.57912,2142244412
71.0076,14083,4.20792,99,58,65,2390,1000,2.77614,140,6.57912,2242266858
70.7464,14135,15.8809,98,61,65,2391,1000,2.77982,139,6.58368,2342280155
70.7364,14137,15.8809,98,61,65,2391,1000,2.77982,139,6.58368,2442331261
72.6586,13763,15.8809,98,61,65,2391,1000,2.77982,139,6.58368,2542383547
70.6864,14147,15.8809,98,61,65,2391,1000,2.77982,139,6.58368,2642436473
64.7375,15447,15.8809,98,61,65,2391,1000,2.77982,139,6.58368,2742488519
70.5916,14166,5.10585,99,60,65,2389,1000,2.78884,139,6.58345,2842540636
107.204,9328,5.10585,99,60,65,2389,1000,2.78884,139,6.58345,2942592532
66.3878,15063,5.10585,99,60,65,2389,1000,2.78884,139,6.58345,3042643598
67.2088,14879,5.10585,99,60,65,2389,1000,2.78884,139,6.58345,3142693574
63.7227,15693,5.10585,99,60,65,2389,1000,2.78884,139,6.58345,3242746171
59.8337,16713,35.7055,98,63,65,2379,1000,2.83207,138,6.58924,3342797987
73.1689,13667,35.7055,98,63,65,2379,1000,2.83207,138,6.58924,3442848453
69.6088,14366,35.7055,98,63,65,2379,1000,2.83207,138,6.58924,3542898789
69.2233,14446,35.7055,98,63,65,2379,1000,2.83207,138,6.58924,3642949576
