os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16297384,6.2.2-arch1-1,4.6 Mesa 22.3.6,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
69.1611,14459,4.60772,99,57,66,2432,1000,2.82731,151,6.54258,463832071
74.3771,13445,4.60772,99,57,66,2432,1000,2.82731,151,6.54258,563897302
68.6012,14577,4.60772,99,57,66,2432,1000,2.82731,151,6.54258,663961783
74.2611,13466,4.60772,99,57,66,2432,1000,2.82731,151,6.54258,764015454
71.803,13927,4.60772,99,57,66,2432,1000,2.82731,151,6.54258,864065375
80.5477,12415,4.60772,99,57,66,2432,1000,2.82731,151,6.54258,964114466
69.0894,14474,4.22886,99,57,66,2432,1000,2.82731,151,6.54477,1064164667
68.5495,14588,4.22886,99,57,66,2432,1000,2.82731,151,6.54477,1164213818
78.1128,12802,4.22886,99,57,66,2432,1000,2.82731,151,6.54477,1264263709
77.4653,12909,4.22886,99,57,66,2432,1000,2.82731,151,6.54477,1364319930
81.8867,12212,4.22886,99,57,66,2432,1000,2.82731,151,6.54477,1464370481
73.5402,13598,5.56931,99,56,66,2430,1000,2.82731,150,6.54258,1564420372
70.5169,14181,5.56931,99,56,66,2430,1000,2.82731,150,6.54258,1664470292
78.3024,12771,5.56931,99,56,66,2430,1000,2.82731,150,6.54258,1764520603
74.1345,13489,5.56931,99,56,66,2430,1000,2.82731,150,6.54258,1864570804
77.6156,12884,5.56931,99,56,66,2430,1000,2.82731,150,6.54258,1964620455
44.082,22685,4.6285,99,55,66,2430,1000,2.82731,150,6.54062,2064672686
77.226,12949,4.6285,99,55,66,2430,1000,2.82731,150,6.54062,2164723427
65.9718,15158,4.6285,99,55,66,2430,1000,2.82731,150,6.54062,2264773718
72.3956,13813,4.6285,99,55,66,2430,1000,2.82731,150,6.54062,2364824549
67.9532,14716,4.6285,99,55,66,2430,1000,2.82731,150,6.54062,2464873190
67.9717,14712,40.5439,97,60,66,2399,1000,3.11702,150,6.54065,2564924511
64.6496,15468,40.5439,97,60,66,2399,1000,3.11702,150,6.54065,2664976892
67.0601,14912,40.5439,97,60,66,2399,1000,3.11702,150,6.54065,2765026993
22.6152,44218,40.5439,97,60,66,2399,1000,3.11702,150,6.54065,2865077533
72.7537,13745,40.5439,97,60,66,2399,1000,3.11702,150,6.54065,2965126754
65.9718,15158,25.6068,98,62,66,2387,1000,3.0582,149,6.53584,3065176015
67.9856,14709,25.6068,98,62,66,2387,1000,3.0582,149,6.53584,3165233426
68.6153,14574,25.6068,98,62,66,2387,1000,3.0582,149,6.53584,3265282587
63.4196,15768,25.6068,98,62,66,2387,1000,3.0582,149,6.53584,3365331638
67.3265,14853,25.6068,98,62,66,2387,1000,3.0582,149,6.53584,3465380959
72.1761,13855,23.4644,96,64,66,2321,1000,3.19791,145,6.5389,3565430600
58.5583,17077,23.4644,96,64,66,2321,1000,3.19791,145,6.5389,3665487451
63.6416,15713,23.4644,96,64,66,2321,1000,3.19791,145,6.5389,3765536902
77.991,12822,23.4644,96,64,66,2321,1000,3.19791,145,6.5389,3865586813
72.448,13803,23.4644,96,64,66,2321,1000,3.19791,145,6.5389,3965636134
70.0084,14284,36.1728,99,65,66,2424,1000,3.23717,150,6.5415,4065685594
69.1037,14471,36.1728,99,65,66,2424,1000,3.23717,150,6.5415,4165734925
66.9703,14932,36.1728,99,65,66,2424,1000,3.23717,150,6.5415,4265784316
20.79,48100,36.1728,99,65,66,2424,1000,3.23717,150,6.5415,4365834297
81.5129,12268,36.1728,99,65,66,2424,1000,3.23717,150,6.5415,4465884058
81.7394,12234,33.2085,97,66,66,2369,1000,3.12393,148,6.54152,4565932839
73.1315,13674,33.2085,97,66,66,2369,1000,3.12393,148,6.54152,4665982700
66.507,15036,33.2085,97,66,66,2369,1000,3.12393,148,6.54152,4766034481
58.8859,16982,33.2085,97,66,66,2369,1000,3.12393,148,6.54152,4866085862
66.2339,15098,33.2085,97,66,66,2369,1000,3.12393,148,6.54152,4966137903
