os,cpu,gpu,ram,kernel,driver,cpuscheduler, , , , ,
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16297384,6.2.2-arch1-1,4.6 Mesa 22.3.6,schedutil, , , , ,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
79.0826,12645,5.73171,99,71,66,2436,1000,2.81711,151,6.91853,217128948
73.692,13570,5.73171,99,71,66,2436,1000,2.81711,151,6.91853,317193839
76.2369,13117,5.73171,99,71,66,2436,1000,2.81711,151,6.91853,417257600
68.6719,14562,5.73171,99,71,66,2436,1000,2.81711,151,6.91853,517321871
75.3636,13269,5.73171,99,71,66,2436,1000,2.81711,151,6.91853,617385202
72.722,13751,5.73171,99,71,66,2436,1000,2.81711,151,6.91853,717448123
82.7404,12086,4.76773,99,69,66,2433,1000,2.81711,152,6.92805,817511534
72.6797,13759,4.76773,99,69,66,2433,1000,2.81711,152,6.92805,917576825
77.9362,12831,4.76773,99,69,66,2433,1000,2.81711,152,6.92805,1017639796
75.6029,13227,4.76773,99,69,66,2433,1000,2.81711,152,6.92805,1117702817
79.0201,12655,4.76773,99,69,66,2433,1000,2.81711,152,6.92805,1217766998
88.5426,11294,5.83127,99,68,66,2432,1000,2.81711,151,6.92408,1317829588
74.2997,13459,5.83127,99,68,66,2432,1000,2.81711,151,6.92408,1417892689
80.7428,12385,5.83127,99,68,66,2432,1000,2.81711,151,6.92408,1517934330
55.4754,18026,5.83127,99,68,66,2432,1000,2.81711,151,6.92408,1617997771
89.2937,11199,5.83127,99,68,66,2432,1000,2.81711,151,6.92408,1718060912
74.366,13447,21.2422,96,67,66,2341,1000,2.96909,148,6.91282,1818123983
91.659,10910,21.2422,96,67,66,2341,1000,2.96909,148,6.91282,1918187444
73.1797,13665,21.2422,96,67,66,2341,1000,2.96909,148,6.91282,2018254965
81.2678,12305,21.2422,96,67,66,2341,1000,2.96909,148,6.91282,2118318296
66.8181,14966,21.2422,96,67,66,2341,1000,2.96909,148,6.91282,2218381627
69.4252,14404,25.6892,99,68,66,2448,1000,3.0544,152,6.91085,2318444358
65.7765,15203,25.6892,99,68,66,2448,1000,3.0544,152,6.91085,2418507518
47.1676,21201,25.6892,99,68,66,2448,1000,3.0544,152,6.91085,2518572649
59.9449,16682,25.6892,99,68,66,2448,1000,3.0544,152,6.91085,2618637260
62.8496,15911,25.6892,99,68,66,2448,1000,3.0544,152,6.91085,2718700161
75.6201,13224,31.25,99,69,66,2448,1000,2.95808,152,6.91311,2818774532
81.9739,12199,31.25,99,69,66,2448,1000,2.95808,152,6.91311,2918800373
74.7887,13371,31.25,99,69,66,2448,1000,2.95808,152,6.91311,3018862794
73.7137,13566,31.25,99,69,66,2448,1000,2.95808,152,6.91311,3118925725
73.7463,13560,31.25,99,69,66,2448,1000,2.95808,152,6.91311,3218988306
45.0552,22195,22.7329,97,69,66,2401,1000,3.13061,148,6.91384,3319057337
74.3494,13450,22.7329,97,69,66,2401,1000,3.13061,148,6.91384,3419121658
38.7297,25820,22.7329,97,69,66,2401,1000,3.13061,148,6.91384,3519186229
64.7584,15442,22.7329,97,69,66,2401,1000,3.13061,148,6.91384,3619248569
68.9512,14503,22.7329,97,69,66,2401,1000,3.13061,148,6.91384,3719311400
80.7754,12380,40.1212,99,70,66,2425,1000,3.1702,149,6.91478,3819373301
35.4083,28242,40.1212,99,70,66,2425,1000,3.1702,149,6.91478,3919439122
65.6599,15230,40.1212,99,70,66,2425,1000,3.1702,149,6.91478,4019502513
89.4614,11178,40.1212,99,70,66,2425,1000,3.1702,149,6.91478,4119566734
72.5374,13786,40.1212,99,70,66,2425,1000,3.1702,149,6.91478,4219630325
56.1482,17810,39.0819,96,71,66,2334,1000,3.12486,146,6.91729,4319698886
59.1716,16900,39.0819,96,71,66,2334,1000,3.12486,146,6.91729,4419764167
105.164,9509,39.0819,96,71,66,2334,1000,3.12486,146,6.91729,4519826708
195.58,5113,39.0819,96,71,66,2334,1000,3.12486,146,6.91729,4619891379
72.0981,13870,39.0819,96,71,66,2334,1000,3.12486,146,6.91729,4719953710
64.1766,15582,48.2121,98,72,67,2414,1000,3.01007,150,6.91755,4820016160
78.5238,12735,48.2121,98,72,67,2414,1000,3.01007,150,6.91755,4920078811
76.3709,13094,48.2121,98,72,67,2414,1000,3.01007,150,6.91755,5020142332
66.9613,14934,48.2121,98,72,67,2414,1000,3.01007,150,6.91755,5120206023
84.0831,11893,48.2121,98,72,67,2414,1000,3.01007,150,6.91755,5220268684
66.5779,15020,41.5,98,73,66,2411,1000,3.02966,149,6.91777,5320332975
80.0512,12492,41.5,98,73,66,2411,1000,3.02966,149,6.91777,5420382016
62.9366,15889,41.5,98,73,66,2411,1000,3.02966,149,6.91777,5520445757
82.6583,12098,41.5,98,73,66,2411,1000,3.02966,149,6.91777,5620511848
126.646,7896,41.5,98,73,66,2411,1000,3.02966,149,6.91777,5720575859
48.9045,20448,42.7696,97,74,66,2398,1000,3.00926,149,6.92416,5820638450
59.9449,16682,42.7696,97,74,66,2398,1000,3.00926,149,6.92416,5920703571
67.0286,14919,42.7696,97,74,66,2398,1000,3.00926,149,6.92416,6020768661
67.8012,14749,42.7696,97,74,66,2398,1000,3.00926,149,6.92416,6120831162
70.2099,14243,42.7696,97,74,66,2398,1000,3.00926,149,6.92416,6220893403
37.7843,26466,27.8511,96,73,66,2355,1000,3.0293,147,6.9152,6320959134
72.5268,13788,27.8511,96,73,66,2355,1000,3.0293,147,6.9152,6421021805
69.9105,14304,27.8511,96,73,66,2355,1000,3.0293,147,6.9152,6521085146
65.7073,15219,27.8511,96,73,66,2355,1000,3.0293,147,6.9152,6621140847
71.7566,13936,27.8511,96,73,66,2355,1000,3.0293,147,6.9152,6721203178
66.6489,15004,27.8511,96,73,66,2355,1000,3.0293,147,6.9152,6821266919
64.771,15439,29.5203,97,74,67,2373,1000,3.04678,148,6.90553,6921328960
31.9377,31311,29.5203,97,74,67,2373,1000,3.04678,148,6.90553,7021395621
83.0151,12046,29.5203,97,74,67,2373,1000,3.04678,148,6.90553,7121458181
73.0727,13685,29.5203,97,74,67,2373,1000,3.04678,148,6.90553,7221521872
47.1542,21207,29.5203,97,74,67,2373,1000,3.04678,148,6.90553,7321583573
70.7914,14126,28.5181,99,74,67,2429,1000,3.05704,149,6.90335,7421646124
66.72,14988,28.5181,99,74,67,2429,1000,3.05704,149,6.90335,7521699085
65.1466,15350,28.5181,99,74,67,2429,1000,3.05704,149,6.90335,7621762576
34.9418,28619,28.5181,99,74,67,2429,1000,3.05704,149,6.90335,7728769266
81.4067,12284,28.5181,99,74,67,2429,1000,3.05704,149,6.90335,7828832067
70.5667,14171,28.035,96,73,67,2351,1000,3.0618,146,6.90636,7928896077
63.8244,15668,28.035,96,73,67,2351,1000,3.0618,146,6.90636,8028959278
74.7664,13375,28.035,96,73,67,2351,1000,3.0618,146,6.90636,8129020919
71.6384,13959,28.035,96,73,67,2351,1000,3.0618,146,6.90636,8229083190
77.8089,12852,28.035,96,73,67,2351,1000,3.0618,146,6.90636,8329146171
81.3074,12299,12.439,97,73,67,2402,1000,3.0618,147,6.90608,8429208122
46.4943,21508,12.439,97,73,67,2402,1000,3.0618,147,6.90608,8529275603
81.0964,12331,12.439,97,73,67,2402,1000,3.0618,147,6.90608,8629340874
75.0469,13325,12.439,97,73,67,2402,1000,3.0618,147,6.90608,8729403675
94.5448,10577,12.439,97,73,67,2402,1000,3.0618,147,6.90608,8829466196
66.8762,14953,28.989,99,73,67,2416,1000,3.0642,148,6.90473,8929530037
72.2491,13841,28.989,99,73,67,2416,1000,3.0642,148,6.90473,9029594028
70.4821,14188,28.989,99,73,67,2416,1000,3.0642,148,6.90473,9129657188
76.7048,13037,28.989,99,73,67,2416,1000,3.0642,148,6.90473,9229722889
118.68,8426,28.989,99,73,67,2416,1000,3.0642,148,6.90473,9329787430
78.3208,12768,54.401,99,75,67,2413,1000,3.12675,147,6.91682,9429851251
66.9568,14935,54.401,99,75,67,2413,1000,3.12675,147,6.91682,9529917012
65.9109,15172,54.401,99,75,67,2413,1000,3.12675,147,6.91682,9629981673
80.3729,12442,54.401,99,75,67,2413,1000,3.12675,147,6.91682,9730045584
78.456,12746,54.401,99,75,67,2413,1000,3.12675,147,6.91682,9830109155
391.85,2552,34.0824,98,75,66,2412,1000,3.15694,146,6.90659,9930171896
51.164,19545,34.0824,98,75,66,2412,1000,3.15694,146,6.90659,10030238347
81.7261,12236,34.0824,98,75,66,2412,1000,3.15694,146,6.90659,10130302198
80.1603,12475,34.0824,98,75,66,2412,1000,3.15694,146,6.90659,10230363939
125.518,7967,34.0824,98,75,66,2412,1000,3.15694,146,6.90659,10330426739
97.4469,10262,38.3764,97,75,67,2392,1000,3.071,147,6.91362,10430489040
75.7174,13207,38.3764,97,75,67,2392,1000,3.071,147,6.91362,10530552301
85.3534,11716,38.3764,97,75,67,2392,1000,3.071,147,6.91362,10630614682
41.7049,23978,38.3764,97,75,67,2392,1000,3.071,147,6.91362,10730678013
79.0952,12643,38.3764,97,75,67,2392,1000,3.071,147,6.91362,10830742034
89.3416,11193,32.5407,98,75,67,2414,1000,2.97834,147,6.90482,10930804385
74.0686,13501,32.5407,98,75,67,2414,1000,2.97834,147,6.90482,11030866886
77.8634,12843,32.5407,98,75,67,2414,1000,2.97834,147,6.90482,11130929727
80.7233,12388,32.5407,98,75,67,2414,1000,2.97834,147,6.90482,11230991618
78.6411,12716,32.5407,98,75,67,2414,1000,2.97834,147,6.90482,11331054199
74.7496,13378,21.197,97,75,67,2394,1000,2.96294,146,6.90026,11431116269
119.861,8343,21.197,97,75,67,2394,1000,2.96294,146,6.90026,11531179960
73.8171,13547,21.197,97,75,67,2394,1000,2.96294,146,6.90026,11631243831
81.666,12245,21.197,97,75,67,2394,1000,2.96294,146,6.90026,11731306132
67.0466,14915,21.197,97,75,67,2394,1000,2.96294,146,6.90026,11831370353
70.507,14183,34.2822,97,75,67,2394,1000,3.01258,146,6.90052,11931432744
72.9182,13714,34.2822,97,75,67,2394,1000,3.01258,146,6.90052,12031495095
68.0318,14699,34.2822,97,75,67,2394,1000,3.01258,146,6.90052,12131556556
26.4445,37815,34.2822,97,75,67,2394,1000,3.01258,146,6.90052,12231620927
92.1829,10848,34.2822,97,75,67,2394,1000,3.01258,146,6.90052,12331684678
73.8662,13538,29.1358,99,74,67,2415,1000,2.99592,147,6.90979,12431747489
75.815,13190,29.1358,99,74,67,2415,1000,2.99592,147,6.90979,12531809740
74.1785,13481,29.1358,99,74,67,2415,1000,2.99592,147,6.90979,12631873660
85.2442,11731,29.1358,99,74,67,2415,1000,2.99592,147,6.90979,12731935861
74.173,13482,29.1358,99,74,67,2415,1000,2.99592,147,6.90979,12831997232
27.4093,36484,26.0514,96,74,67,2344,1000,3.03051,145,6.90462,12932060133
107.527,9300,26.0514,96,74,67,2344,1000,3.03051,145,6.90462,13032087904
74.2501,13468,26.0514,96,74,67,2344,1000,3.03051,145,6.90462,13132149665
72.4743,13798,26.0514,96,74,67,2344,1000,3.03051,145,6.90462,13232212896
105.876,9445,26.0514,96,74,67,2344,1000,3.03051,145,6.90462,13332276267
68.4697,14605,26.0514,96,74,67,2344,1000,3.03051,145,6.90462,13432340518
68.1663,14670,38.3477,97,74,67,2382,1000,3.09494,145,6.90406,13532402319
72.9927,13700,38.3477,97,74,67,2382,1000,3.09494,145,6.90406,13632465060
66.7958,14971,38.3477,97,74,67,2382,1000,3.09494,145,6.90406,13732526981
